"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
390,"RHI","Robert Half International Inc.","Services","Staffing & Outsourcing Services","USA",5222.18,22.52,38.29,-1.24%,1007071
391,"RHT","Red Hat, Inc.","Technology","Application Software","USA",8164.73,52.56,43.10,-0.46%,2529288
392,"RL","Ralph Lauren Corporation","Consumer Goods","Textile - Apparel Clothing","USA",14745.92,20.53,162.40,0.81%,1070983
393,"ROK","Rockwell Automation Inc.","Industrial Goods","Diversified Machinery","USA",14499.77,20.04,104.39,-1.30%,1156045
394,"ROP","Roper Industries Inc.","Industrial Goods","Diversified Machinery","USA",12583.31,25.55,126.99,-0.78%,323189
395,"ROST","Ross Stores Inc.","Services","Apparel Stores","USA",15240.09,18.51,71.27,-0.25%,1168393
396,"RRC","Range Resources Corporation","Basic Materials","Independent Oil & Gas","USA",12042.38,182.93,75.00,1.58%,2524966
397,"RSG","Republic Services, Inc.","Industrial Goods","Waste Management","USA",11747.07,25.69,32.37,-0.83%,1623636
398,"RTN","Raytheon Co.","Industrial Goods","Aerospace/Defense - Major Diversified","USA",24032.85,12.52,73.97,-0.11%,1313011
399,"S","Sprint Nextel Corp.","Technology","Diversified Communication Services","USA",18.64,,6.00,-2.12%,15896264
400,"SBUX","Starbucks Corporation","Services","Specialty Eateries","USA",56422.42,36.01,75.26,-0.36%,4739189
401,"SCG","SCANA Corp.","Utilities","Electric Utilities","USA",6316.90,13.27,45.25,0.49%,1096000
402,"SCHW","The Charles Schwab Corporation","Financial","Investment Brokerage - National","USA",26726.00,30.97,20.75,0.88%,8870532
403,"SE","Spectra Energy Corp.","Basic Materials","Oil & Gas Pipelines","USA",22725.93,24.26,33.97,-0.35%,2446866
404,"SEE","Sealed Air Corporation","Consumer Goods","Packaging & Containers","USA",5179.73,,26.59,-0.49%,1887730
405,"SHW","The Sherwin-Williams Company","Basic Materials","Specialty Chemicals","USA",17823.07,27.10,175.31,-0.65%,646480
406,"SIAL","Sigma-Aldrich Corporation","Basic Materials","Specialty Chemicals","USA",9949.20,21.48,82.91,-0.88%,644810
407,"SJM","The J. M. Smucker Company","Consumer Goods","Processed & Packaged Goods","USA",10968.04,20.15,104.38,-1.14%,459603
408,"SLB","Schlumberger Limited","Basic Materials","Oil & Gas Equipment & Services","USA",115502.08,18.64,87.04,-1.03%,6178494
409,"SLM","SLM Corporation","Financial","Credit Services","USA",10634.80,8.06,24.17,-0.45%,3299114
410,"SNA","Snap-on Inc.","Industrial Goods","Small Tools & Accessories","USA",5576.72,17.11,95.82,0.20%,299208
411,"SNDK","SanDisk Corp.","Technology","Data Storage Devices","USA",14848.59,20.98,61.48,0.52%,3719180
412,"SNI","Scripps Networks Interactive, Inc.","Services","Broadcasting - TV","USA",10995.17,16.25,74.73,-0.45%,585845
